Nome da instância	Taxa horária sob demanda	vCPU	Memória	Armazenamento	Performance das redes
r5dn.24xlarge	USD 8,016	96	768 GiB	4 x 900 SSD NVMe	
r5dn.metal	USD 8,016	96	768 GiB	4 x 900 SSD NVMe	100 Gigabit
r5n.large	USD 0,149	2	16 GiB	Somente EBS	Até 25 gigabits
r5n.xlarge	USD 0,298	4	32 GiB	Somente EBS	Até 25 gigabits
r5n.2xlarge	USD 0,596	8	64 GiB	Somente EBS	Até 25 gigabits
r5n.4xlarge	USD 1,192	16	128 GiB	Somente EBS	Até 25 gigabits
r5n.8xlarge	USD 2,384	32	256 GiB	Somente EBS	25 Gigabit
r5n.12xlarge	USD 3,576	48	384 GiB	Somente EBS	50 Gigabit
r5n.16xlarge	USD 4,768	64	512 GiB	Somente EBS	75 Gigabit
r5n.24xlarge	USD 7,152	96	768 GiB	Somente EBS	100 Gigabit
r5n.metal	USD 7,152	96	768 GiB	Somente EBS	100 Gigabit
r4.large	USD 0,133	2	15.25 GiB	Somente EBS	Até 10 gigabits
r4.xlarge	USD 0,266	4	30,5 GiB	Somente EBS	Até 10 gigabits
r4.2xlarge	USD 0,532	8	61 GiB	Somente EBS	Até 10 gigabits
r4.4xlarge	USD 1,064	16	122 GiB	Somente EBS	Até 10 gigabits
r4.8xlarge	USD 2,128	32	244 GiB	Somente EBS	10 Gigabit
r4.16xlarge	USD 4,256	64	488 GiB	Somente EBS	20 Gigabit
z1d.large	USD 0,186	2	16 GiB	1 x 75 SSD NVMe	Até 10 gigabits
z1d.xlarge	USD 0,372	4	32 GiB	1 x 150 SSD NVMe	Até 10 gigabits
z1d.2xlarge	USD 0,744	8	64 GiB	1 x 300 SSD NVMe	Até 10 gigabits
z1d.3xlarge	USD 1,116	12	96 GiB	1 x 450 SSD NVMe	
z1d.6xlarge	USD 2,232	24	192 GiB	1 x 900 SSD NVMe	10 Gigabit
z1d.12xlarge	USD 4,464	48	384 GiB	2 x 900 SSD NVMe	25 Gigabit
z1d.metal	USD 4,464	48	384 GiB	2 x 900 SSD NVMe	25 Gigabit
i4g.large	USD 0,15444	2	16 GiB	1 x 468 SSD	Até 10 gigabits
i4g.xlarge	USD 0,30888	4	32 GiB	1 x 937 SSD	Até 10 gigabits
i4g.2xlarge	USD 0,61776	8	64 GiB	1 x 1875 SSD	Até 12 Gigabits
i4g.4xlarge	USD 1,23552	16	128 GiB	1 x 3750 SSD	Até 25 gigabits
i4g.8xlarge	USD 2,47104	32	256 GiB	2 x 3750 SSD	18750 Megabit
i4g.16xlarge	USD 4,94208	64	512 GiB	4 x 3750 SSD	37500 Megabit
i4i.large	USD 0,172	2	16 GiB	1 x 468 SSD NVMe	Até 10 gigabits
i4i.xlarge	USD 0,343	4	32 GiB	1 x 937 SSD NVMe	Até 10 gigabits
i4i.2xlarge	USD 0,686	8	64 GiB	1 x 1875 SSD NVMe	Até 12 Gigabits
i4i.4xlarge	USD 1,373	16	128 GiB	1 x 3750 SSD NVMe	Até 25 gigabits
i4i.8xlarge	USD 2,746	32	256 GiB	2 x 3750 SSD NVMe	18750 Megabit
i4i.12xlarge	USD 4,118	48	384 GiB	3 x 3750 SSD NVMe	28125 Megabit
i4i.16xlarge	USD 5,491	64	512 GiB	4 x 3750 SSD NVMe	35000 Megabit
i4i.24xlarge	USD 8,2368	96	768 GiB	6 x 3750 SSD NVMe	56250 Megabit
i4i.32xlarge	USD 10,9824	128	1024 GiB	8 x 3750 SSD	75000 Megabit
i4i.metal	USD 10,982	128	1024 GiB	8 x 3750 SSD NVMe	75000 Megabit
i3.large	USD 0,156	2	15.25 GiB	1 x 475 SSD NVMe	
d3.4xlarge	USD 1,998	16	128 GiB	12 x 2.000 HDD	Até 15 Gigabits
d3.8xlarge	USD 3,99552	32	256 GiB	24 x 2.000 HDD	25 Gigabit
u-12tb1.112xlarge	USD 109,20	448	12288 GiB	Somente EBS	100 Gigabit
u-9tb1.112xlarge	USD 81,90	448	9216 GiB	Somente EBS	100 Gigabit
hpc7a.12xlarge	USD 7,20	24	768 GiB	Somente EBS	300 Gigabit
hpc7a.24xlarge	USD 7,20	48	768 GiB	Somente EBS	300 Gigabit
hpc7a.48xlarge	USD 7,20	96	768 GiB	Somente EBS	300 Gigabit
hpc7a.96xlarge	USD 7,20	192	768 GiB	Somente EBS	300 Gigabit
gr6.4xlarge	USD 1,5392	16	128 GiB	1 x 600 GB SSD NVMe	Até 25 gigabits
gr6.8xlarge	USD 2,4464	32	256 GiB	2 x SSDs NVMe de 450 GB	25 Gigabit
u-6tb1.56xlarge	USD 46,40391	224	6144 GiB	Somente EBS	100 Gigabit
u-6tb1.112xlarge	USD 54,60	448	6144 GiB	Somente EBS	100 Gigabit
hpc6a.48xlarge	USD 2,88	96	384 GiB	Somente EBS	100 Gigabit
hpc6id.32xlarge	USD 5,70	64	1024 GiB	4 x SSD NVMe 3.800	200 Gigabit
is4gen.medium	USD 0,14408	1	6 GiB	1 x 937 SSD	Até 25 gigabits
is4gen.large	USD 0,28815	2	12 GiB	1 x 1875 SSD	Até 25 gigabits
is4gen.xlarge	USD 0,5763	4	24 GiB	1 x 3750 SSD	Até 25 gigabits
is4gen.2xlarge	USD 1,1526	8	48 GiB	1 x 7500 SSD	Até 25 gigabits
is4gen.4xlarge	USD 2,3052	16	96 GiB	2 x 7500 SSD	25 Gigabit
is4gen.8xlarge	USD 4,6104	32	192 GiB	4 x 7500 SSD	
im4gn.large	USD 0,1819	2	8 GiB	1 x 937 SSD	Até 25 gigabits
im4gn.xlarge	USD 0,36379	4	16 GiB	1 x 1875 SSD	Até 25 gigabits
im4gn.2xlarge	USD 0,72758	8	32 GiB	1 x 3750 SSD	Até 25 gigabits
im4gn.4xlarge	USD 1,45517	16	64 GiB	1 x 7500 SSD	25 Gigabit
im4gn.8xlarge	USD 2,91034	32	128 GiB	2 x 7500 SSD	50 Gigabit
im4gn.16xlarge	USD 5,82067	64	256 GiB	4 x 7500 SSD	100 Gigabit
u-3tb1.56xlarge	USD 27,30	224	3072 GiB	Somente EBS	50 Gigabit
inf2.xlarge	USD 0,7582	4	16 GiB	Somente EBS	Até 15 Gigabits
inf2.8xlarge	USD 1,96786	32	128 GiB	Somente EBS	Até 25 gigabits
inf2.24xlarge	USD 6,49063	96	384 GiB	Somente EBS	50 Gigabit
inf2.48xlarge	USD 12,98127	192	768 GiB	Somente EBS	100 Gigabit
inf1.xlarge	USD 0,228	4	8 GiB	Somente EBS	Até 25 gigabits
inf1.6xlarge	USD 1,18	24	48 GiB	Somente EBS	25 Gigabit
trn1.2xlarge	USD 1,34375	8	32 GiB	1 x 475 SSD NVMe	12500 Megabit
trn1.32xlarge	USD 21,50	128	512 GiB	4 x 1.900 SSD NVMe	800 Gigabit
inf1.2xlarge	USD 0,362	8	16 GiB	Somente EBS	Até 25 gigabits
inf1.24xlarge	USD 4,721	96	192 GiB	Somente EBS	100 Gigabit
trn1n.32xlarge	USD 24,78	128	512 GiB	4 x 1.900 SSD NVMe	1600 Gigabit
